GO:0009826	Zm00001d001765
GO:0030835	Zm00001d006533
GO:0032268	Zm00001d042867
GO:0006091	Zm00001d010157
GO:0007017	Zm00001d019144
GO:0051603	Zm00001d014232
GO:1900140	Zm00001d028361
GO:0046467	Zm00001d047317
GO:0009165	Zm00001d000377
GO:0070085	Zm00001d021129
GO:0048530	Zm00001d029719
GO:0015908	Zm00001d035128
GO:0044272	Zm00001d033225
GO:0009914	Zm00001d039691
GO:0034660	Zm00001d019177
GO:0080134	Zm00001d053391
GO:0009790	Zm00001d007590
GO:0010604	Zm00001d021145
GO:2000280	Zm00001d018097
GO:0031325	Zm00001d051573
GO:0017038	Zm00001d040161
GO:0015772	Zm00001d021775
GO:0071462	Zm00001d030127
GO:0006631	Zm00001d024273
GO:0006970	Zm00001d039150
GO:1901701	Zm00001d025714
GO:0042493	Zm00001d042593
GO:0010608	Zm00001d053902
GO:0032787	Zm00001d054079
GO:2000379	Zm00001d042284
GO:0008360	Zm00001d006118
GO:0006812	Zm00001d043403
GO:0051188	Zm00001d020426
GO:0010228	Zm00001d039637
GO:0097237	Zm00001d006933
GO:0055086	Zm00001d007518
GO:0048583	Zm00001d033484
GO:0070592	Zm00001d034017
GO:0072330	Zm00001d044605
GO:0002682	Zm00001d036395
GO:0006270	Zm00001d040595
GO:0034599	Zm00001d014632
GO:0009735	Zm00001d032370
GO:0022900	Zm00001d040837
GO:0016052	Zm00001d042146
GO:0062012	Zm00001d005003
GO:0046486	Zm00001d024529
GO:0071555	Zm00001d052264
GO:0019941	Zm00001d027302
GO:2000241	Zm00001d045735
GO:2001006	Zm00001d050191
GO:0042545	Zm00001d029441
GO:0098656	Zm00001d032430
GO:0048366	Zm00001d027512
GO:0006259	Zm00001d003267
GO:0031347	Zm00001d033371
GO:0009642	Zm00001d033469
GO:0042181	Zm00001d043970
GO:0048522	Zm00001d046506
GO:0010166	Zm00001d036765
GO:0006968	Zm00001d050917
GO:0046907	Zm00001d045379
GO:0022603	Zm00001d013289
GO:0007034	Zm00001d037417
GO:0071985	Zm00001d043997
GO:0035067	Zm00001d019039
GO:0043631	Zm00001d014379
GO:0022607	Zm00001d018337
GO:0051254	Zm00001d018916
GO:0010026	Zm00001d046941
GO:0071365	Zm00001d052148
GO:0006974	Zm00001d018851
GO:0009617	Zm00001d021806
GO:0010029	Zm00001d037769
GO:0022613	Zm00001d052555
GO:0035556	Zm00001d017568
GO:0090626	Zm00001d049443
GO:0022900	Zm00001d045029
GO:0006486	Zm00001d033142
GO:0031325	Zm00001d040934
GO:0051641	Zm00001d042370
GO:0042592	Zm00001d009706
GO:0045935	Zm00001d002545
GO:0052544	Zm00001d002287
GO:0048545	Zm00001d008753
GO:0045934	Zm00001d033602
GO:0009908	Zm00001d048227
GO:0010648	Zm00001d036925
GO:0051649	Zm00001d012047
GO:0051649	Zm00001d034492
GO:0098662	Zm00001d000430
GO:0048580	Zm00001d021968
GO:0051276	Zm00001d006369
GO:0060966	Zm00001d014977
GO:0043933	Zm00001d033981
GO:0009832	Zm00001d021930
GO:0009793	Zm00001d032575
GO:0000966	Zm00001d022551
GO:0009567	Zm00001d025750
GO:0009723	Zm00001d035194
GO:0009991	Zm00001d012377
GO:0071103	Zm00001d049353
GO:0051188	Zm00001d002511
GO:1901419	Zm00001d022376
GO:0000398	Zm00001d015939
GO:0048440	Zm00001d052598
GO:0042493	Zm00001d044765
GO:0048646	Zm00001d028265
GO:0046907	Zm00001d008269
GO:0045184	Zm00001d014269
GO:0071071	Zm00001d024935
GO:0044706	Zm00001d043792
GO:0061640	Zm00001d033680
GO:0006820	Zm00001d009705
GO:0009404	Zm00001d043795
GO:0006325	Zm00001d045944
GO:0009751	Zm00001d014378
GO:0048609	Zm00001d017762
GO:0048588	Zm00001d032644
GO:0007215	Zm00001d020568
GO:0051649	Zm00001d044599
GO:0070646	Zm00001d000312
GO:0065001	Zm00001d026212
GO:0032535	Zm00001d047540
GO:0016143	Zm00001d021168
GO:0031047	Zm00001d043861
GO:0031347	Zm00001d025165
GO:0034637	Zm00001d047077
GO:0030148	Zm00001d019549
GO:0031335	Zm00001d045294
GO:0046907	Zm00001d022623
GO:0034311	Zm00001d047317
GO:0016569	Zm00001d048516
GO:0046390	GRMZM5G884912
GO:0048827	Zm00001d007119
GO:0010817	Zm00001d027425
GO:0009266	Zm00001d025048
GO:0033611	Zm00001d026649
GO:0009908	Zm00001d030968
GO:0009645	Zm00001d034298
GO:0046434	Zm00001d025859
GO:0034660	Zm00001d007684
GO:0016053	Zm00001d041575
GO:0048316	Zm00001d046318
GO:0051693	Zm00001d012158
GO:0051726	Zm00001d043358
GO:0016192	Zm00001d052354
GO:0002238	Zm00001d052831
GO:0090407	Zm00001d018069
GO:0006641	Zm00001d044202
GO:0009733	Zm00001d012314
GO:0009267	Zm00001d042057
GO:0071900	Zm00001d017441
GO:0006559	Zm00001d003015
GO:0030643	Zm00001d028367
GO:0006357	Zm00001d009604
GO:1901160	Zm00001d016720
GO:0009793	Zm00001d050319
GO:0044270	Zm00001d019648
GO:0006260	Zm00001d043358
GO:0051186	Zm00001d035803
GO:0009893	Zm00001d006456
GO:0010558	Zm00001d021291
GO:0000723	Zm00001d025679
GO:0032787	Zm00001d017425
GO:0006878	Zm00001d014569
GO:0009209	Zm00001d044024
GO:0048583	Zm00001d035835
GO:0006412	Zm00001d049263
GO:0009553	Zm00001d012327
GO:0030001	Zm00001d003115
GO:0048583	Zm00001d034536
GO:0048588	Zm00001d039741
GO:0042254	Zm00001d045285
GO:0070925	Zm00001d017049
GO:0006260	Zm00001d052256
GO:0007062	Zm00001d014500
GO:0048468	Zm00001d037140
GO:0019941	Zm00001d045315
GO:1900150	Zm00001d029593
GO:0071554	Zm00001d043841
GO:0019637	Zm00001d021526
GO:0031667	Zm00001d029117
GO:2000113	Zm00001d023695
GO:0010154	Zm00001d039330
GO:0017148	Zm00001d004581
GO:0009749	Zm00001d035665
GO:0048826	Zm00001d004064
GO:0009793	Zm00001d016581
GO:0098732	Zm00001d041421
GO:0046686	Zm00001d038365
GO:0044106	Zm00001d024028
GO:0009617	Zm00001d016979
GO:0009893	Zm00001d039881
GO:0046416	Zm00001d031809
GO:0051094	Zm00001d007827
GO:0016999	Zm00001d040705
GO:0009606	Zm00001d016898
GO:0009135	Zm00001d028556
